idx,hidden
0,"(0, 0, 0)"
1,"(0, 0, 1)"
2,"(0, 0, 2)"
3,"(0, 0, 3)"
4,"(0, 0, 4)"
5,"(1, 0, 0)"
6,"(1, 0, 1)"
7,"(1, 0, 2)"
8,"(1, 0, 3)"
9,"(1, 0, 4)"
10,"(1, 1, 1)"
11,"(1, 1, 2)"
12,"(1, 1, 3)"
13,"(1, 1, 4)"
14,"(1, 2, 2)"
15,"(1, 2, 3)"
16,"(1, 2, 4)"
17,"(1, 3, 3)"
18,"(1, 3, 4)"
19,"(1, 4, 4)"
20,"(2, 0, 0)"
21,"(2, 0, 1)"
22,"(2, 0, 2)"
23,"(2, 0, 3)"
24,"(2, 0, 4)"
25,"(2, 1, 1)"
26,"(2, 1, 2)"
27,"(2, 1, 3)"
28,"(2, 1, 4)"
29,"(2, 2, 2)"
30,"(2, 2, 3)"
31,"(2, 2, 4)"
32,"(2, 3, 3)"
33,"(2, 3, 4)"
34,"(2, 4, 4)"
35,"(3, 0, 0)"
36,"(3, 0, 1)"
37,"(3, 0, 2)"
38,"(3, 0, 3)"
39,"(3, 0, 4)"
40,"(3, 1, 1)"
41,"(3, 1, 2)"
42,"(3, 1, 3)"
43,"(3, 1, 4)"
44,"(3, 2, 2)"
45,"(3, 2, 3)"
46,"(3, 2, 4)"
47,"(3, 3, 3)"
48,"(3, 3, 4)"
49,"(3, 4, 4)"
