nsim,int_2,suma,Type
10,6,0.039885,Empirical
10,5,0.060745,Empirical
10,4,0.12039,Empirical
10,3,0.047285,Empirical
10,2,0.17372,Empirical
10,1,0.07817,Empirical
10,0,0.47865,Empirical
11,6,0.13988,Empirical
11,5,0.1441,Empirical
11,4,0.106075,Empirical
11,3,0.117105,Empirical
11,2,0.07734,Empirical
11,1,0.07079,Empirical
11,0,0.343265,Empirical
12,6,0.09892,Empirical
12,5,0.030685,Empirical
12,4,0.132095,Empirical
12,3,0.061075,Empirical
12,2,0.05938,Empirical
12,1,0.080155,Empirical
12,0,0.53639,Empirical
13,6,0.087635,Empirical
13,5,0.1093,Empirical
13,4,0.073185,Empirical
13,3,0.11519,Empirical
13,2,0.025875,Empirical
13,1,0.047795,Empirical
13,0,0.5398,Empirical
14,6,0.069945,Empirical
14,5,0.069835,Empirical
14,4,0.069225,Empirical
14,3,0.107615,Empirical
14,2,0.07582,Empirical
14,1,0.075835,Empirical
14,0,0.53067,Empirical
15,6,0.085995,Empirical
15,5,0.05945,Empirical
15,4,0.16698,Empirical
15,3,0.0355,Empirical
15,2,0.03873,Empirical
15,1,0.34422,Empirical
15,0,0.267965,Empirical
16,6,0.188495,Empirical
16,5,0.113095,Empirical
16,4,0.11187,Empirical
16,3,0.105115,Empirical
16,2,0.05386,Empirical
16,1,0.09513,Empirical
16,0,0.331155,Empirical
17,6,0.057055,Empirical
17,5,0.056675,Empirical
17,4,0.115555,Empirical
17,3,0.057005,Empirical
17,2,0.05558,Empirical
17,1,0.1988,Empirical
17,0,0.458105,Empirical
18,6,0.13829,Empirical
18,5,0.180885,Empirical
18,4,0.055095,Empirical
18,3,0.129255,Empirical
18,2,0.16154,Empirical
18,1,0.04694,Empirical
18,0,0.286775,Empirical
19,6,0.094435,Empirical
19,5,0.1087,Empirical
19,4,0.099415,Empirical
19,3,0.030535,Empirical
19,2,0.12142,Empirical
19,1,0.062705,Empirical
19,0,0.481685,Empirical
20,6,0.05628,Empirical
20,5,0.077915,Empirical
20,4,0.061415,Empirical
20,3,0.10929,Empirical
20,2,0.08805,Empirical
20,1,0.07442,Empirical
20,0,0.53145,Empirical
21,6,0.07607,Empirical
21,5,0.086745,Empirical
21,4,0.041925,Empirical
21,3,0.050575,Empirical
21,2,0.07521,Empirical
21,1,0.070435,Empirical
21,0,0.598005,Empirical
22,6,0.082685,Empirical
22,5,0.05173,Empirical
22,4,0.10461,Empirical
22,3,0.110625,Empirical
22,2,0.07677,Empirical
22,1,0.08449,Empirical
22,0,0.487865,Empirical
23,6,0.150705,Empirical
23,5,0.075105,Empirical
23,4,0.141735,Empirical
23,3,0.104565,Empirical
23,2,0.131605,Empirical
23,1,0.092965,Empirical
23,0,0.302075,Empirical
24,6,0.072505,Empirical
24,5,0.15448,Empirical
24,4,0.10338,Empirical
24,3,0.059155,Empirical
24,2,0.12012,Empirical
24,1,0.115635,Empirical
24,0,0.373575,Empirical
25,6,0.10227,Empirical
25,5,0.112815,Empirical
25,4,0.075735,Empirical
25,3,0.088245,Empirical
25,2,0.076625,Empirical
25,1,0.076425,Empirical
25,0,0.46657,Empirical
26,6,0.15758,Empirical
26,5,0.087665,Empirical
26,4,0.123095,Empirical
26,3,0.136825,Empirical
26,2,0.07334,Empirical
26,1,0.143495,Empirical
26,0,0.276605,Empirical
27,6,0.08395,Empirical
27,5,0.072215,Empirical
27,4,0.098025,Empirical
27,3,0.04108,Empirical
27,2,0.096175,Empirical
27,1,0.09036,Empirical
27,0,0.516975,Empirical
28,6,0.102575,Empirical
28,5,0.075605,Empirical
28,4,0.067945,Empirical
28,3,0.03728,Empirical
28,2,0.100515,Empirical
28,1,0.035255,Empirical
28,0,0.5797,Empirical
29,6,0.14136,Empirical
29,5,0.06203,Empirical
29,4,0.130235,Empirical
29,3,0.04421,Empirical
29,2,0.08783,Empirical
29,1,0.098915,Empirical
29,0,0.43431,Empirical
