name,topology,int_1,int_2
0,0,0,0
1,0,0,1
2,0,0,2
3,0,0,3
4,0,0,4
5,0,0,5
6,0,0,6
7,0,1,0
8,0,1,1
9,0,1,2
10,0,1,3
11,0,1,4
12,0,1,5
13,0,1,6
14,0,2,0
15,0,2,1
16,0,2,2
17,0,2,3
18,0,2,4
19,0,2,5
20,0,2,6
21,0,3,0
22,0,3,1
23,0,3,2
24,0,3,3
25,0,3,4
26,0,3,5
27,0,3,6
28,0,4,0
29,0,4,1
30,0,4,2
31,0,4,3
32,0,4,4
33,0,4,5
34,0,4,6
35,1,0,0
36,1,0,1
37,1,0,2
38,1,0,3
39,1,0,4
40,1,0,5
41,1,0,6
42,1,1,1
43,1,1,2
44,1,1,3
45,1,1,4
46,1,1,5
47,1,1,6
48,1,2,2
49,1,2,3
50,1,2,4
51,1,2,5
52,1,2,6
53,1,3,3
54,1,3,4
55,1,3,5
56,1,3,6
57,1,4,4
58,1,4,5
59,1,4,6
60,1,5,5
61,1,5,6
62,1,6,6
63,2,0,0
64,2,0,1
65,2,0,2
66,2,0,3
67,2,0,4
68,2,0,5
69,2,0,6
70,2,1,1
71,2,1,2
72,2,1,3
73,2,1,4
74,2,1,5
75,2,1,6
76,2,2,2
77,2,2,3
78,2,2,4
79,2,2,5
80,2,2,6
81,2,3,3
82,2,3,4
83,2,3,5
84,2,3,6
85,2,4,4
86,2,4,5
87,2,4,6
88,2,5,5
89,2,5,6
90,2,6,6
91,3,0,0
92,3,0,1
93,3,0,2
94,3,0,3
95,3,0,4
96,3,0,5
97,3,0,6
98,3,1,1
99,3,1,2
100,3,1,3
101,3,1,4
102,3,1,5
103,3,1,6
104,3,2,2
105,3,2,3
106,3,2,4
107,3,2,5
108,3,2,6
109,3,3,3
110,3,3,4
111,3,3,5
112,3,3,6
113,3,4,4
114,3,4,5
115,3,4,6
116,3,5,5
117,3,5,6
118,3,6,6
